Aletas,D_in_PVC (mm),D_out_PVC (mm),D_aleta (mm),Proporción Serpentín,C_coil (mm),T_out_hot (°C),UA Total (W/K),Efectividad,Altura Serpentín (m),Número de Vueltas
0,13.6,16.0,8.89,0.9,12.24,14.4819,30.2966,0.3449,0.2348,23.9807
0,13.6,16.0,9.525,0.9,12.24,14.4819,30.2966,0.3449,0.2348,23.9807
0,13.6,16.0,10.16,0.9,12.24,14.4819,30.2966,0.3449,0.2348,23.9807
0,13.6,16.0,10.795,0.9,12.24,14.4819,30.2966,0.3449,0.2348,23.9807
0,13.6,16.0,11.43,0.9,12.24,14.4819,30.2966,0.3449,0.2348,23.9807
0,13.6,16.0,12.065,0.9,12.24,14.4819,30.2966,0.3449,0.2348,23.9807
0,17.0,20.0,6.985,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,7.62,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,8.255,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,8.89,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,9.525,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,10.16,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,10.795,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,11.43,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,12.065,0.5,8.5,15.9974,20.4503,0.2502,0.3255,33.508
0,17.0,20.0,6.985,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,7.62,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,8.255,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,8.89,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,9.525,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,10.16,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,10.795,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,11.43,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,12.065,0.6,10.2,16.0285,20.2625,0.2482,0.277,28.4177
0,17.0,20.0,6.985,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,7.62,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,8.255,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,8.89,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,9.525,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,10.16,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,10.795,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,11.43,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,12.065,0.7,11.9,16.0556,20.0999,0.2465,0.2409,24.6246
0,17.0,20.0,6.985,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,7.62,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,8.255,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,8.89,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,9.525,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,10.16,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,10.795,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,11.43,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,12.065,0.8,13.6,16.0796,19.9561,0.245,0.2131,21.7021
0,17.0,20.0,6.985,0.9,15.3,16.1012,19.8271,0.2437,0.191,19.3873
