D_in_cold,D_out_cold,N_aletas,D_aleta,T_out_hot,UA_total,Efectividad
0.008,0.01,0,0.006985,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,0,0.007620000000000001,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,0,0.008255,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,0,0.008889999999999999,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,0,0.009524999999999999,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,0,0.01016,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,0,0.010794999999999999,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,0,0.01143,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,0,0.012065,18.140488353781734,8.678366650182271,0.1162194778886422
0.008,0.01,1,0.006985,18.139238068365728,8.684632317944184,0.11629762072714102
0.008,0.01,1,0.007620000000000001,18.13801237961877,8.690775333527043,0.11637422627382714
0.008,0.01,1,0.008255,18.13669628829217,8.697372110755147,0.11645648198173801
0.008,0.01,1,0.008889999999999999,18.13529128096536,8.704415341033327,0.11654429493966556
0.008,0.01,1,0.009524999999999999,18.133799084727684,8.71189651624536,0.11663755720452043
0.008,0.01,1,0.01016,18.132221668481918,8.719805920933217,0.11673614571987972
0.008,0.01,1,0.010794999999999999,18.13056124189137,8.728132636173704,0.11683992238178946
0.008,0.01,1,0.01143,18.12882025199667,8.736864555039894,0.11694873425020764
0.008,0.01,1,0.012065,18.127001377547685,8.74598840944098,0.11706241390326798
0.008,0.01,2,0.006985,18.137988214080565,8.690896454599677,0.11637573661996328
0.008,0.01,2,0.007620000000000001,18.135538095947936,8.70317801246602,0.11652886900325363
0.008,0.01,2,0.008255,18.13290818738693,8.716363487537015,0.1166932382883164
0.008,0.01,2,0.008889999999999999,18.130101653473105,8.730437578883373,0.1168686466579313
0.008,0.01,2,0.009524999999999999,18.127122147812145,8.745382559172239,0.11705486576174205
0.008,0.01,2,0.01016,18.123973813346026,8.761178265343032,0.11725163666587264
0.008,0.01,2,0.010794999999999999,18.12066127830127,8.777802113204869,0.11745867010616966
0.008,0.01,2,0.01143,18.117189647355076,8.795229135646059,0.1176756470403086
0.008,0.01,2,0.012065,18.113564488138138,8.81343204394561,0.11790221949136538
0.008,0.01,3,0.006985,18.136738790706943,8.697159060709902,0.11645382558081689
0.008,0.01,3,0.007620000000000001,18.133065501066767,8.715574691356329,0.11668340618332679
0.008,0.01,3,0.008255,18.129124044953016,8.735340796177033,0.11692974719043515
0.008,0.01,3,0.008889999999999999,18.12491945557747,8.75643340400734,0.11719253402640946
0.008,0.01,3,0.009524999999999999,18.120457509517905,8.778824864821269,0.11747140565512922
0.008,0.01,3,0.01016,18.11574472515349,8.802483845414596,0.11776595467790654
0.008,0.01,3,0.010794999999999999,18.110788353602743,8.827375361737115,0.11807572789982944
0.008,0.01,3,0.01143,18.10559636231966,8.853460847276635,0.11840022735502229
0.008,0.01,3,0.012065,18.10017741156912,8.880698256577043,0.11873891177693073
0.008,0.01,4,0.006985,18.135489798025617,8.703420136835733,0.11653188762339975
0.008,0.01,4,0.007620000000000001,18.13059459327502,8.727965374550886,0.11683783792031083
0.008,0.01,4,0.008255,18.12534385488999,8.75430405230119,0.11716600906937677
0.008,0.01,4,0.008889999999999999,18.119744671594617,8.78240285659844,0.11751595802533679
0.008,0.01,4,0.009524999999999999,18.11380513644781,8.812223518826686,0.11788717897201219
0.008,0.01,4,0.01016,18.107534340962957,8.843722822628362,0.1182791036898137
0.008,0.01,4,0.010794999999999999,18.10094235896696,8.87685266114612,0.11869110256456666
0.008,0.01,4,0.01143,18.094040220458623,8.911560143136938,0.11912248622133621
0.008,0.01,4,0.012065,18.08683987582714,8.947787746522927,0.11957250776080221
0.008,0.01,5,0.006985,18.13424123581757,8.709679683537784,0.11660992276140147
0.008,0.01,5,0.007620000000000001,18.128125370874727,8.740350066398396,0.1169921643203291
0.008,0.01,5,0.008255,18.121567611109583,8.77325327151234,0.11740202430565029
0.008,0.01,5,0.008889999999999999,18.114577285884366,8.808345976768376,0.11783891963222703
0.008,0.01,5,0.009524999999999999,18.107164995323785,8.84557860659931,0.11830218779226201
0.008,0.01,5,0.01016,18.099342598110923,8.884895357944442,0.11879108761806823
0.008,0.01,5,0.010794999999999999,18.091123186141317,8.926234289727159,0.11930480086616842
0.008,0.01,5,0.01143,18.082521046437137,8.969527474373512,0.11984243459767982
0.008,0.01,5,0.012065,18.073551610851894,9.014701209301894,0.12040302432175547
0.008,0.01,6,0.006985,18.132993103863953,8.715937701376383,0.11668793100850179
0.008,0.01,6,0.007620000000000001,18.12565783217019,8.752728771243365,0.1171463854893642
0.008,0.01,6,0.008255,18.117795307536085,8.792188469390249,0.11763779327899306
0.008,0.01,6,0.008889999999999999,18.109417282849904,8.83426280454755,0.11816141982187935
0.008,0.01,6,0.009524999999999999,18.100537052986795,8.878890213327287,0.11871643418832425
0.008,0.01,6,0.01016,18.091169434209917,8.92600161180471,0.11930191036188077
0.008,0.01,6,0.010794999999999999,18.081330727445675,8.975520524700283,0.11991682953464666
0.008,0.01,6,0.01143,18.071038666008747,9.027363290085775,0.12056008337445194
0.008,0.01,6,0.012065,18.060312348518607,9.081439336787605,0.12123047821758741
0.008,0.01,7,0.006985,18.131745401946034,8.722194190911583,0.1167659123783718
